s_fcode,audityr,ftyname1,ftyname2,ftylocalname,ftyaddr,products,employees,ordersince,ftyaddrlow,ftynamelow1,ftynamelow2,province,prefecture,county,streetnumbers,indzone,township,basiclvl,streetnames,name1,name2,matched_names,matched_addr,matched_countycode,Match Accuracy,Notes
KEYSHA,2009,"KEYSHEEN INDUSTRY (SHANGHAI) CO., LTD","KEYSHEEN INDUSTRY (SHANGHAI) CO., LTD",NA,"707, SONGHUA ROAD, QINGPU INDUSTRIAL ZONE, SHANGHAI, CHINA,",NA,NA,2011-11-08,"707, songhua road, qingpu industrial zone, shanghai, china,","keysheen industry (shanghai) co., ltd","keysheen industry (shanghai) co., ltd",shanghai,shanghai,qingpu,707,qingpu,NA,NA,songhua,keysheen,keysheen,基胜工业(上海)有限公司,上海市青浦工业园区崧华路707号,3.1e+11,T,
LILFAS,2009,"LILAN FASHION ACCESSORIES MANUFACTURES (SHANGHAI) CO., LTD.","LILAN FASHION ACCESSORIES MANUFACTURES (SHANGHAI) CO., LTD.",NA,"4858 HUTAI ROAD, BAOSHAN, ,",NA,NA,10/14/03,"4858 hutai road, baoshan, ,","lilan fashion accessories manufactures (shanghai) co., ltd.","lilan fashion accessories manufactures (shanghai) co., ltd.",shanghai,shanghai,baoshan,4858,NA,NA,NA,hutai,lilan fashion  manufactures,lilanmanufactures,利澜服饰制品(上海)有限公司,沪太路4858号,3.1e+11,T,
ROYSHA,2009,"ROY-NE (SHANGHAI) CO., LTD. - CHINA","ROY-NE (SHANGHAI) CO., LTD. - CHINA",NA,"15 XING GUI ROAD, XINGTA TOWN JINSHA DISTRICT, SHANGHAI,",NA,NA,2005-11-07,"15 xing gui road, xingta town jinsha district, shanghai,","roy-ne (shanghai) co., ltd. - china","roy-ne (shanghai) co., ltd. - china",shanghai,shanghai,NA,15,NA,xingta,NA,xinggui,royne,royne,上海璐衣娜时装有限公司,上海市金山区枫泾镇兴桂路15号,3.1e+11,T,Cautious
SFLCS1,2009,"SHANGHAI FU LIN GARMENT CO., LTD (CHINA - S1)","SHANGHAI FU LIN GARMENT CO., LTD (CHINA - S1)",NA,"NO. 4608, BEISONG ROAD, SONGJIANG DISTRICT, , ,",NA,NA,2003-03-03,"no. 4608, beisong road, songjiang district, , ,","shanghai fu lin garment co., ltd (china - s1)","shanghai fu lin garment co., ltd (china - s1)",shanghai,shanghai,songjiang,4608,NA,NA,NA,beisong,shanghai fu lin garment,fulin,上海富琳制衣有限公司,松江区车墩镇北松公路4608号,3.1e+11,T,
SHABAL,2009,"SHANGHAI BALLOON PLASTIC PRODUCTS CO., LTD.","SHANGHAI BALLOON PLASTIC PRODUCTS CO., LTD.",-,"NO. 1185, YONGXIN RD., XUHANG TOWN, JIADING DISTRICT, SHANGHAI, 201808, CHINA,",NA,NA,10/31/05,"no. 1185, yongxin rd., xuhang town, jiading district, shanghai, 201808, china,","shanghai balloon plastic products co., ltd.","shanghai balloon plastic products co., ltd.",shanghai,shanghai,jiading,1185,NA,xuhang,NA,yongxin,shanghai balloon plastic,balloon,上海保龙塑胶制品有限公司,上海市嘉定区徐行镇永新路1185号,3.1e+11,T,
SHACH1,2009,"SHANGHAI HAILI TOYS CO., LTD. (CHINA - H1)","SHANGHAI HAILI TOYS CO., LTD. (CHINA - H1)",NA,"NO.1 ZHENYE RD, DONGJING TOWN, SONGJIANG DISTRICT, , ,",NA,NA,10/30/01,"no.1 zhenye rd, dongjing town, songjiang district, , ,","shanghai haili toys co., ltd. (china - h1)","shanghai haili toys co., ltd. (china - h1)",shanghai,shanghai,songjiang,1,NA,dongjing,NA,zhenye,shanghai haili toys,haili,上海海利玩具有限公司,松江区洞泾镇振业路1号,3.1e+11,T,
SHAETT,2009,"SHANGHAI E-TOP TEXTILE CO., LTD.","SHANGHAI E-TOP TEXTILE CO., LTD.",上海依拓纺织有限公司,"5505, NANTING ROAD, TINGLIN INDUSTRIAL PARK, JINSHAN DISTRICT, ,",NA,NA,2/28/08,"5505, nanting road, tinglin industrial park, jinshan district, ,","shanghai e-top textile co., ltd.","shanghai e-top textile co., ltd.",shanghai,shanghai,jinshan,5505,tinglin,NA,NA,nanting,shanghai etop textile,etop,上海依拓纺织有限公司,上海市金山区亭林镇南亭公路5505号,3.1e+11,T,E
SHAFEA,2009,"SHANGHAI DONGLONG FEATHER MANUFACTURE CO., LTD","SHANGHAI DONGLONG FEATHER MANUFACTURE CO., LTD",NA,"NO. 288, SHANGZHOU ROAD, SHANGTA TOWN, QINGPU, ,",NA,NA,1/25/08,"no. 288, shangzhou road, shangta town, qingpu, ,","shanghai donglong feather manufacture co., ltd","shanghai donglong feather manufacture co., ltd",shanghai,shanghai,qingpu,288,NA,shangta,NA,shangzhou,shanghai donglong feather manufacture,donglong,上海东隆羽绒制品有限公司,金泽镇商周路288号,3.1e+11,T,
SHAHEF,2009,SHANGHAI HEFU KNITTING FACTORY,SHANGHAI HEFU KNITTING FACTORY,NA,"1368, JIANGXIN ROAD, LV SAN CUN VILLAGE, TANZHEN TOWN, PUDONG DISTRICT, ,",NA,NA,2004-03-06,"1368, jiangxin road, lv san cun village, tanzhen town, pudong district, ,",shanghai hefu knitting factory,shanghai hefu knitting factory,shanghai,shanghai,pudong,1368,NA,tanzhen,lvsancun,jiangxin,shanghai hefu knitting,hefu,上海禾馥织造有限公司,浦东新区江欣路1368号,3.1e+11,T,
SHAJIO,2009,SHANGHAI JIONGLONG INT TRADE CO.LTD,SHANGHAI JIONGLONG INT TRADE CO.LTD,NA,"NO 5699 CHUANZHOU ROAD, PUDONG, SHANGHAI, CHINA, ,",NA,NA,11/14/09,"no 5699 chuanzhou road, pudong, shanghai, china, ,",shanghai jionglong int trade co.ltd,shanghai jionglong int trade co.ltd,shanghai,shanghai,pudong,5699,NA,NA,NA,chuanzhou,shanghai jionglong int trade,jionglongint,上海炯龙玩具有限公司,浦东新区川沙新镇川周公路5699号第六幢,3.1e+11,T,
SHAMIG,2009,"SHANGHAI MINGO GARMENT CO.,LTD","SHANGHAI MINGO GARMENT CO.,LTD",NA,"NO.1698, ZHAOCHONG ROAD, CHONGGU TOWN, QINGPU DIST, ,",NA,NA,9/28/06,"no.1698, zhaochong road, chonggu town, qingpu dist, ,","shanghai mingo garment co.,ltd","shanghai mingo garment co.,ltd",shanghai,shanghai,qingpu,1698,NA,chonggu,NA,zhaochong,shanghai mingo garment,mingo,上海铭固制衣有限公司,重固镇赵重公路1698号,3.1e+11,T,
SHANEW,2009,"SHANGHAI NEWEST LUGGAGE CO., LTD.","SHANGHAI NEWEST LUGGAGE CO., LTD.",NA,"NO.3168 TINGFENG RD.,ZHUJING,SHANGHAI CHINA, , ,",NA,NA,2007-04-08,"no.3168 tingfeng rd.,zhujing,shanghai china, , ,","shanghai newest luggage co., ltd.","shanghai newest luggage co., ltd.",shanghai,shanghai,NA,3168,NA,NA,NA,tingfeng,shanghai newest luggage,newest,上海顶新箱包有限公司,上海市金山区朱泾镇亭枫公路3168号,3.1e+11,T,E
