,Province,Prefecture,county
0,bei jing,bei jing,dong cheng
1,bei jing,bei jing,xi cheng
2,bei jing,bei jing,chao yang
3,bei jing,bei jing,feng tai
4,bei jing,bei jing,shi jing shan
5,bei jing,bei jing,hai dian
6,bei jing,bei jing,men tou gou
7,bei jing,bei jing,fang shan
8,bei jing,bei jing,tong zhou
9,bei jing,bei jing,shun yi
10,bei jing,bei jing,chang ping
11,bei jing,bei jing,da xing
12,bei jing,bei jing,da xing
13,bei jing,bei jing,huai rou
14,bei jing,bei jing,mi yun
15,bei jing,bei jing,yan qing
16,tian jin,tian jin,he ping
17,tian jin,tian jin,he dong
18,tian jin,tian jin,he xi
19,tian jin,tian jin,nan kai
20,tian jin,tian jin,he bei
21,tian jin,tian jin,hong qiao
22,tian jin,tian jin,dong li
23,tian jin,tian jin,xi qing
24,tian jin,tian jin,jin nan
25,tian jin,tian jin,bei chen
26,tian jin,tian jin,wu qing
27,tian jin,tian jin,bao chi
28,tian jin,tian jin,ning he
29,tian jin,tian jin,jing hai
30,tian jin,tian jin,bin hai xin
31,tian jin,tian jin,ji zhou
32,he bei,shi jia zhuang,chang an
33,he bei,shi jia zhuang,yu hua
34,he bei,shi jia zhuang,qiao xi
35,he bei,shi jia zhuang,xin hua
36,he bei,shi jia zhuang,gao cheng
37,he bei,shi jia zhuang,lu quan
38,he bei,shi jia zhuang,luan cheng
39,he bei,shi jia zhuang,jing xing kuang
40,he bei,shi jia zhuang,jing xing
41,he bei,shi jia zhuang,zheng ding
42,he bei,shi jia zhuang,luan cheng
43,he bei,shi jia zhuang,xing tang
44,he bei,shi jia zhuang,ling shou
45,he bei,shi jia zhuang,gao yi
46,he bei,shi jia zhuang,shen ze
47,he bei,shi jia zhuang,zan huang
48,he bei,shi jia zhuang,wu ji
49,he bei,shi jia zhuang,ping shan
50,he bei,shi jia zhuang,yuan shi
51,he bei,shi jia zhuang,zhao
52,he bei,shi jia zhuang,xin ji
53,he bei,shi jia zhuang,jin zhou
54,he bei,shi jia zhuang,xin le
55,he bei,tang shan,lu nan
56,he bei,tang shan,lu bei
57,he bei,tang shan,gu ye
58,he bei,tang shan,kai ping
59,he bei,tang shan,feng run
60,he bei,tang shan,feng nan
61,he bei,tang shan,cao fei dian
62,he bei,tang shan,zun hua
63,he bei,tang shan,qian an
64,he bei,tang shan,luan
65,he bei,tang shan,luan nan
66,he bei,tang shan,le ting
67,he bei,tang shan,qian xi
68,he bei,tang shan,yu tian
69,he bei,qin huang dao,hai gang
70,he bei,qin huang dao,shan hai guan
71,he bei,qin huang dao,bei dai he
72,he bei,qin huang dao,fu ning
73,he bei,qin huang dao,chang li
74,he bei,qin huang dao,lu long
75,he bei,qin huang dao,qing long man
76,he bei,han dan,han shan
77,he bei,han dan,cong tai
78,he bei,han dan,fu xing
79,he bei,han dan,feng feng kuang
80,he bei,han dan,fei xiang
81,he bei,han dan,yong nian
82,he bei,han dan,cheng an
83,he bei,han dan,da ming
84,he bei,han dan,she
85,he bei,han dan,ci
86,he bei,han dan,lin zhang
87,he bei,han dan,qiu
88,he bei,han dan,ji ze
89,he bei,han dan,guang ping
90,he bei,han dan,guan tao
91,he bei,han dan,wei
92,he bei,han dan,qu zhou
93,he bei,han dan,wu an
94,he bei,xing tai,qiao dong
95,he bei,xing tai,qiao xi
96,he bei,xing tai,xing tai
97,he bei,xing tai,lin cheng
98,he bei,xing tai,nei qiu
99,he bei,xing tai,bai xiang
100,he bei,xing tai,long yao
101,he bei,xing tai,ren
102,he bei,xing tai,nan he
103,he bei,xing tai,ning jin
104,he bei,xing tai,ju lu
105,he bei,xing tai,xin he
106,he bei,xing tai,guang zong
107,he bei,xing tai,ping xiang
108,he bei,xing tai,wei
109,he bei,xing tai,qing he
110,he bei,xing tai,lin xi
111,he bei,xing tai,nan gong
112,he bei,xing tai,sha he
113,he bei,bao ding,jing xiu
114,he bei,bao ding,lian chi
115,he bei,bao ding,man cheng
116,he bei,bao ding,qing yuan
117,he bei,bao ding,xu shui
118,he bei,bao ding,lai shui
119,he bei,bao ding,fu ping
120,he bei,bao ding,ding xing
121,he bei,bao ding,tang
122,he bei,bao ding,gao yang
123,he bei,bao ding,rong cheng
124,he bei,bao ding,lai yuan
125,he bei,bao ding,wang du
126,he bei,bao ding,an xin
127,he bei,bao ding,yi
128,he bei,bao ding,qu yang
129,he bei,bao ding,li
130,he bei,bao ding,shun ping
131,he bei,bao ding,bo ye
132,he bei,bao ding,xiong
133,he bei,bao ding,zhuo zhou
134,he bei,bao ding,ding zhou
135,he bei,bao ding,an guo
136,he bei,bao ding,gao bei dian
137,he bei,zhang jia kou,qiao dong
138,he bei,zhang jia kou,qiao xi
139,he bei,zhang jia kou,xuan hua
140,he bei,zhang jia kou,xia hua yuan
141,he bei,zhang jia kou,wan quan
142,he bei,zhang jia kou,chong li
143,he bei,zhang jia kou,zhang bei
144,he bei,zhang jia kou,kang bao
145,he bei,zhang jia kou,gu yuan
146,he bei,zhang jia kou,shang yi
147,he bei,zhang jia kou,wei
148,he bei,zhang jia kou,yang yuan
149,he bei,zhang jia kou,huai an
150,he bei,zhang jia kou,huai lai
151,he bei,zhang jia kou,zhuo lu
152,he bei,zhang jia kou,chi cheng
153,he bei,cheng de,shuang qiao
154,he bei,cheng de,shuang luan
155,he bei,cheng de,ying shou ying zi kuang
156,he bei,cheng de,cheng de
157,he bei,cheng de,xing long
158,he bei,cheng de,ping quan
159,he bei,cheng de,luan ping
160,he bei,cheng de,long hua
161,he bei,cheng de,feng ning man
162,he bei,cheng de,kuan cheng man
163,he bei,cheng de,wei chang man meng gu
164,he bei,cang zhou,xin hua
165,he bei,cang zhou,yun he
166,he bei,cang zhou,cang
167,he bei,cang zhou,qing
168,he bei,cang zhou,dong guang
169,he bei,cang zhou,hai xing
170,he bei,cang zhou,yan shan
171,he bei,cang zhou,su ning
172,he bei,cang zhou,nan pi
173,he bei,cang zhou,wu qiao
174,he bei,cang zhou,xian
175,he bei,cang zhou,meng cun hui
176,he bei,cang zhou,bo tou
177,he bei,cang zhou,ren qiu
178,he bei,cang zhou,huang hua
179,he bei,cang zhou,he jian
180,he bei,lang fang,guang yang
181,he bei,lang fang,an ci
182,he bei,lang fang,gu an
183,he bei,lang fang,yong qing
184,he bei,lang fang,xiang he
185,he bei,lang fang,da cheng
186,he bei,lang fang,wen an
187,he bei,lang fang,da chang hui
188,he bei,lang fang,ba zhou
189,he bei,lang fang,san he
190,he bei,heng shui,tao cheng
191,he bei,heng shui,ji zhou
192,he bei,heng shui,zao qiang
193,he bei,heng shui,wu yi
194,he bei,heng shui,wu qiang
195,he bei,heng shui,rao yang
196,he bei,heng shui,an ping
197,he bei,heng shui,gu cheng
198,he bei,heng shui,jing
199,he bei,heng shui,fu cheng
200,he bei,heng shui,shen zhou
201,shan xi,tai yuan,xiao dian
202,shan xi,tai yuan,ying ze
203,shan xi,tai yuan,xing hua ling
204,shan xi,tai yuan,jian cao ping
205,shan xi,tai yuan,wan bai lin
206,shan xi,tai yuan,jin yuan
207,shan xi,tai yuan,qing xu
208,shan xi,tai yuan,yang qu
209,shan xi,tai yuan,lou fan
210,shan xi,tai yuan,gu jiao
211,shan xi,da tong,cheng
212,shan xi,da tong,kuang
213,shan xi,da tong,nan jiao
214,shan xi,da tong,xin rong
215,shan xi,da tong,yang gao
216,shan xi,da tong,tian zhen
217,shan xi,da tong,guang ling
218,shan xi,da tong,ling qiu
219,shan xi,da tong,hun yuan
220,shan xi,da tong,zuo yun
