Province,Prefecture,county
beijing,beijing,dongcheng
beijing,beijing,xicheng
beijing,beijing,zhaoyang
beijing,beijing,fengtai
beijing,beijing,shijingshan
beijing,beijing,haidian
beijing,beijing,mentougou
beijing,beijing,fangshan
beijing,beijing,tongzhou
beijing,beijing,shunyi
beijing,beijing,changping
beijing,beijing,daxing
beijing,beijing,daxing
beijing,beijing,huairou
beijing,beijing,miyun
beijing,beijing,yanqing
tianjin,tianjin,heping
tianjin,tianjin,hedong
tianjin,tianjin,hexi
tianjin,tianjin,nankai
tianjin,tianjin,hebei
tianjin,tianjin,hongqiao
tianjin,tianjin,dongli
tianjin,tianjin,xiqing
tianjin,tianjin,jinnan
tianjin,tianjin,beichen
tianjin,tianjin,wuqing
tianjin,tianjin,baochi
tianjin,tianjin,ninghe
tianjin,tianjin,jinghai
tianjin,tianjin,binhaixin
tianjin,tianjin,jizhou
hebei,shijiazhuang,changan
hebei,shijiazhuang,yuhua
hebei,shijiazhuang,qiaoxi
hebei,shijiazhuang,xinhua
hebei,shijiazhuang,gaocheng
hebei,shijiazhuang,luquan
hebei,shijiazhuang,luancheng
hebei,shijiazhuang,jingxingkuang
hebei,shijiazhuang,jingxing
hebei,shijiazhuang,zhengding
hebei,shijiazhuang,luancheng
hebei,shijiazhuang,xingtang
hebei,shijiazhuang,lingshou
hebei,shijiazhuang,gaoyi
hebei,shijiazhuang,shenze
hebei,shijiazhuang,zanhuang
hebei,shijiazhuang,wuji
hebei,shijiazhuang,pingshan
hebei,shijiazhuang,yuanshi
hebei,shijiazhuang,zhao
hebei,shijiazhuang,xinji
hebei,shijiazhuang,jinzhou
hebei,shijiazhuang,xinle
hebei,tangshan,lunan
hebei,tangshan,lubei
hebei,tangshan,guye
hebei,tangshan,kaiping
hebei,tangshan,fengrun
hebei,tangshan,fengnan
hebei,tangshan,caofeidian
hebei,tangshan,zunhua
hebei,tangshan,qianan
hebei,tangshan,luan
hebei,tangshan,luannan
hebei,tangshan,leting
hebei,tangshan,qianxi
hebei,tangshan,yutian
hebei,qinhuangdao,haigang
hebei,qinhuangdao,shanhaiguan
hebei,qinhuangdao,beidaihe
hebei,qinhuangdao,funing
hebei,qinhuangdao,changli
hebei,qinhuangdao,lulong
hebei,qinhuangdao,qinglong
hebei,handan,hanshan
hebei,handan,congtai
hebei,handan,fuxing
hebei,handan,fengfeng
hebei,handan,feixiang
hebei,handan,yongnian
hebei,handan,chengan
hebei,handan,daming
hebei,handan,she
hebei,handan,ci
hebei,handan,linzhang
hebei,handan,qiu
hebei,handan,jize
hebei,handan,guangping
hebei,handan,guantao
hebei,handan,wei
hebei,handan,quzhou
hebei,handan,wuan
hebei,xingtai,qiaodong
hebei,xingtai,qiaoxi
hebei,xingtai,xingtai
hebei,xingtai,lincheng
hebei,xingtai,neiqiu
hebei,xingtai,baixiang
hebei,xingtai,longyao
hebei,xingtai,ren
hebei,xingtai,nanhe
hebei,xingtai,ningjin
hebei,xingtai,julu
hebei,xingtai,xinhe
hebei,xingtai,guangzong
hebei,xingtai,pingxiang
hebei,xingtai,wei
hebei,xingtai,qinghe
hebei,xingtai,linxi
hebei,xingtai,nangong
hebei,xingtai,shahe
hebei,baoding,jingxiu
hebei,baoding,lianchi
hebei,baoding,mancheng
hebei,baoding,qingyuan
hebei,baoding,xushui
hebei,baoding,laishui
hebei,baoding,fuping
hebei,baoding,dingxing
hebei,baoding,tang
hebei,baoding,gaoyang
hebei,baoding,rongcheng
hebei,baoding,laiyuan
hebei,baoding,wangdu
hebei,baoding,anxin
hebei,baoding,yi
hebei,baoding,quyang
hebei,baoding,li
hebei,baoding,shunping
hebei,baoding,boye
hebei,baoding,xiong
hebei,baoding,zhuozhou
hebei,baoding,dingzhou
hebei,baoding,anguo
hebei,baoding,gaobeidian
hebei,zhangjiakou,qiaodong
hebei,zhangjiakou,qiaoxi
hebei,zhangjiakou,xuanhua
hebei,zhangjiakou,xiahuayuan
hebei,zhangjiakou,wanquan
hebei,zhangjiakou,chongli
hebei,zhangjiakou,zhangbei
hebei,zhangjiakou,kangbao
hebei,zhangjiakou,guyuan
hebei,zhangjiakou,shangyi
hebei,zhangjiakou,wei
hebei,zhangjiakou,yangyuan
hebei,zhangjiakou,huaian
hebei,zhangjiakou,huailai
hebei,zhangjiakou,zhuolu
hebei,zhangjiakou,chicheng
hebei,chengde,shuangqiao
hebei,chengde,shuangluan
hebei,chengde,yingshouyingzi
hebei,chengde,chengde
hebei,chengde,xinglong
hebei,chengde,pingquan
hebei,chengde,luanping
hebei,chengde,longhua
hebei,chengde,fengning
hebei,chengde,kuancheng
hebei,chengde,weichang
hebei,cangzhou,xinhua
hebei,cangzhou,yunhe
hebei,cangzhou,cang
hebei,cangzhou,qing
hebei,cangzhou,dongguang
hebei,cangzhou,haixing
hebei,cangzhou,yanshan
hebei,cangzhou,suning
hebei,cangzhou,nanpi
hebei,cangzhou,wuqiao
hebei,cangzhou,xian
hebei,cangzhou,mengcun
hebei,cangzhou,botou
hebei,cangzhou,renqiu
hebei,cangzhou,huanghua
hebei,cangzhou,hejian
hebei,langfang,guangyang
hebei,langfang,anci
hebei,langfang,guan
hebei,langfang,yongqing
hebei,langfang,xianghe
hebei,langfang,dacheng
hebei,langfang,wenan
hebei,langfang,dachang
hebei,langfang,bazhou
hebei,langfang,sanhe
hebei,hengshui,taocheng
hebei,hengshui,jizhou
hebei,hengshui,zaoqiang
hebei,hengshui,wuyi
hebei,hengshui,wuqiang
hebei,hengshui,raoyang
hebei,hengshui,anping
hebei,hengshui,gucheng
hebei,hengshui,jing
hebei,hengshui,fucheng
hebei,hengshui,shenzhou
shanxi,taiyuan,xiaodian
shanxi,taiyuan,yingze
shanxi,taiyuan,xinghualing
shanxi,taiyuan,jiancaoping
shanxi,taiyuan,wanbailin
shanxi,taiyuan,jinyuan
shanxi,taiyuan,qingxu
shanxi,taiyuan,yangqu
shanxi,taiyuan,loufan
shanxi,taiyuan,gujiao
shanxi,datong,cheng
shanxi,datong,kuang
shanxi,datong,nanjiao
shanxi,datong,xinrong
shanxi,datong,yanggao
shanxi,datong,tianzhen
shanxi,datong,guangling
shanxi,datong,lingqiu
shanxi,datong,hunyuan
shanxi,datong,zuoyun
shanxi,datong,datong
shanxi,yangquan,cheng
shanxi,yangquan,kuang
shanxi,yangquan,jiao
shanxi,yangquan,pingding
shanxi,yangquan,yu
shanxi,changzhi,cheng
shanxi,changzhi,jiao
shanxi,changzhi,changzhi
shanxi,changzhi,xiangyuan
shanxi,changzhi,tunliu
shanxi,changzhi,pingshun
shanxi,changzhi,licheng
shanxi,changzhi,huguan
shanxi,changzhi,zhangzi
shanxi,changzhi,wuxiang
shanxi,changzhi,qin
shanxi,changzhi,qinyuan
shanxi,changzhi,lucheng
shanxi,jincheng,cheng
shanxi,jincheng,qinshui
shanxi,jincheng,yangcheng
shanxi,jincheng,lingchuan
shanxi,jincheng,zezhou
shanxi,jincheng,gaoping
shanxi,shuozhou,shuocheng
shanxi,shuozhou,pinglu
shanxi,shuozhou,shanyin
shanxi,shuozhou,ying
shanxi,shuozhou,youyu
shanxi,shuozhou,huairen
shanxi,xinzhou,xinfu
shanxi,xinzhou,yuanping
shanxi,xinzhou,dingxiang
shanxi,xinzhou,wutai
shanxi,xinzhou,dai
shanxi,xinzhou,fanshi
shanxi,xinzhou,ningwu
shanxi,xinzhou,jingle
shanxi,xinzhou,shenchi
shanxi,xinzhou,wuzhai
shanxi,xinzhou,kelan
shanxi,xinzhou,hequ
shanxi,xinzhou,baode
shanxi,xinzhou,pianguan
shanxi,lvliang,lishi
shanxi,lvliang,xiaoyi
shanxi,lvliang,fenyang
shanxi,lvliang,wenshui
shanxi,lvliang,jiaocheng
shanxi,lvliang,xing
shanxi,lvliang,lin
shanxi,lvliang,liulin
shanxi,lvliang,shilou
shanxi,lvliang,lan
shanxi,lvliang,fangshan
shanxi,lvliang,zhongyang
shanxi,lvliang,jiaokou
shanxi,jinzhong,yuci
shanxi,jinzhong,jiexiu
shanxi,jinzhong,yushe
shanxi,jinzhong,zuoquan
shanxi,jinzhong,heshun
shanxi,jinzhong,xiyang
shanxi,jinzhong,shouyang
shanxi,jinzhong,taigu
shanxi,jinzhong,qi
shanxi,jinzhong,pingyao
shanxi,jinzhong,lingshi
shanxi,linfen,yaodu
shanxi,linfen,houma
shanxi,linfen,huozhou
shanxi,linfen,quwo
shanxi,linfen,yicheng
shanxi,linfen,xiangfen
shanxi,linfen,hongdong
shanxi,linfen,gu
shanxi,linfen,anze
shanxi,linfen,fushan
shanxi,linfen,ji
shanxi,linfen,xiangning
shanxi,linfen,pu
shanxi,linfen,daning
shanxi,linfen,yonghe
shanxi,linfen,xi
shanxi,linfen,fenxi
shanxi,yuncheng,yanhu
shanxi,yuncheng,yongji
shanxi,yuncheng,hejin
shanxi,yuncheng,ruicheng
shanxi,yuncheng,linyi
shanxi,yuncheng,wanrong
shanxi,yuncheng,xinjiang
shanxi,yuncheng,jishan
shanxi,yuncheng,wenxi
shanxi,yuncheng,xia
shanxi,yuncheng,jiang
shanxi,yuncheng,pinglu
shanxi,yuncheng,yuanqu
neimenggu,huhehaote,xincheng
neimenggu,huhehaote,huimin
neimenggu,huhehaote,yuquan
neimenggu,huhehaote,saihan
neimenggu,huhehaote,tumotezuo
neimenggu,huhehaote,tuoketuo
neimenggu,huhehaote,helingeer
neimenggu,huhehaote,qingshuihe
neimenggu,huhehaote,wuchuan
neimenggu,baotou,donghe
neimenggu,baotou,kundulun
neimenggu,baotou,qingshan
neimenggu,baotou,shiguai
neimenggu,baotou,baiyunebokuang
neimenggu,baotou,jiuyuan
neimenggu,baotou,tumoteyou
neimenggu,baotou,guyang
neimenggu,baotou,daerhanmaominganlianhe
neimenggu,wuhai,haibowan
neimenggu,wuhai,hainan
neimenggu,wuhai,wuda
neimenggu,chifeng,hongshan
neimenggu,chifeng,yuanbaoshan
neimenggu,chifeng,songshan
neimenggu,chifeng,alukeerqin
neimenggu,chifeng,balinzuo
neimenggu,chifeng,balinyou
neimenggu,chifeng,linxi
neimenggu,chifeng,keshiketeng
neimenggu,chifeng,wengniute
neimenggu,chifeng,kalaqin
neimenggu,chifeng,ningcheng
neimenggu,chifeng,aohan
neimenggu,hulunbeier,hailaer
neimenggu,hulunbeier,zhalainuoer
neimenggu,hulunbeier,manzhouli
neimenggu,hulunbeier,zhalantun
neimenggu,hulunbeier,yakeshi
neimenggu,hulunbeier,genhe
neimenggu,hulunbeier,eerguna
neimenggu,hulunbeier,arong
neimenggu,hulunbeier,molidawadawoerzizhi
neimenggu,hulunbeier,elunchunzizhi
neimenggu,hulunbeier,ewenkezizhi
neimenggu,hulunbeier,xinbaerhuyou
neimenggu,hulunbeier,xinbaerhuzuo
neimenggu,hulunbeier,chenbaerhu
neimenggu,xingan,wulanhaote
neimenggu,xingan,aershan
neimenggu,xingan,keerqinyouyiqian
neimenggu,xingan,keerqinyouyizhong
neimenggu,xingan,zhalaite
neimenggu,xingan,tuquan
neimenggu,tongliao,keerqin
neimenggu,tongliao,huolinguole
neimenggu,tongliao,keerqinzuoyizhong
neimenggu,tongliao,keerqinzuoyihou
neimenggu,tongliao,kailu
neimenggu,tongliao,kulun
neimenggu,tongliao,naiman
neimenggu,tongliao,zhalute
neimenggu,xilinguole,erlianhaote
neimenggu,xilinguole,xilinhaote
neimenggu,xilinguole,abaga
neimenggu,xilinguole,sunitezuo
neimenggu,xilinguole,suniteyou
neimenggu,xilinguole,dongwuzhumuqin
neimenggu,xilinguole,xiwuzhumuqin
neimenggu,xilinguole,taipusi
neimenggu,xilinguole,xianghuang
neimenggu,xilinguole,zhengxiangbai
neimenggu,xilinguole,zhenglan
neimenggu,xilinguole,duolun
neimenggu,wulanchabu,jining
neimenggu,wulanchabu,fengzhen
neimenggu,wulanchabu,zhuozi
neimenggu,wulanchabu,huade
neimenggu,wulanchabu,shangdu
neimenggu,wulanchabu,xinghe
neimenggu,wulanchabu,liangcheng
neimenggu,wulanchabu,chahaeryouyiqian
neimenggu,wulanchabu,chahaeryouyizhong
neimenggu,wulanchabu,chahaeryouyihou
neimenggu,wulanchabu,siziwang
neimenggu,eerduosi,dongsheng
neimenggu,eerduosi,kangbashi
neimenggu,eerduosi,dalate
neimenggu,eerduosi,zhungeer
neimenggu,eerduosi,etuokeqian
neimenggu,eerduosi,etuoke
neimenggu,eerduosi,hangjin
neimenggu,eerduosi,yijinhuoluo
neimenggu,bayannaoer,linhe
neimenggu,bayannaoer,wuyuan
neimenggu,bayannaoer,dengkou
neimenggu,bayannaoer,wulateqian
neimenggu,bayannaoer,wulatezhong
neimenggu,bayannaoer,wulatehou
neimenggu,bayannaoer,hangjinhou
neimenggu,alashan,alashanzuo
neimenggu,alashan,alashanyou
neimenggu,alashan,ejina
liaoning,shenyang,heping
liaoning,shenyang,shenhe
liaoning,shenyang,dadong
liaoning,shenyang,huanggu
liaoning,shenyang,tiexi
liaoning,shenyang,sujiatun
liaoning,shenyang,hunnan
liaoning,shenyang,shenbeixin
liaoning,shenyang,yuhong
liaoning,shenyang,liaozhong
liaoning,shenyang,kangping
liaoning,shenyang,faku
liaoning,shenyang,xinmin
liaoning,dalian,zhongshan
liaoning,dalian,xigang
liaoning,dalian,shahekou
liaoning,dalian,ganjingzi
liaoning,dalian,lvshunkou
liaoning,dalian,jinzhou
liaoning,dalian,pulandian
liaoning,dalian,wafangdian
liaoning,dalian,zhuanghe
liaoning,dalian,changhai
liaoning,anshan,tiedong
liaoning,anshan,tiexi
liaoning,anshan,lishan
liaoning,anshan,qianshan
liaoning,anshan,taian
liaoning,anshan,xiuyanman
liaoning,anshan,haicheng
liaoning,fushun,xinfu
liaoning,fushun,dongzhou
liaoning,fushun,wanghua
liaoning,fushun,shuncheng
liaoning,fushun,fushun
liaoning,fushun,xinbinman
liaoning,fushun,qingyuanman
liaoning,benxi,pingshan
liaoning,benxi,xihu
liaoning,benxi,mingshan
liaoning,benxi,nanfen
liaoning,benxi,benximan
liaoning,benxi,huanrenman
liaoning,dandong,yuanbao
liaoning,dandong,zhenxing
liaoning,dandong,zhenan
liaoning,dandong,kuandianman
liaoning,dandong,donggang
liaoning,dandong,fengcheng
liaoning,jinzhou,guta
liaoning,jinzhou,linghe
liaoning,jinzhou,taihe
liaoning,jinzhou,heishan
liaoning,jinzhou,yi
liaoning,jinzhou,linghai
liaoning,jinzhou,beizhen
liaoning,yingkou,zhanqian
liaoning,yingkou,xi
liaoning,yingkou,boyuquan
liaoning,yingkou,laobian
liaoning,yingkou,gaizhou
liaoning,yingkou,dashiqiao
liaoning,fuxin,haizhou
liaoning,fuxin,xinqiu
liaoning,fuxin,taiping
liaoning,fuxin,qinghemen
liaoning,fuxin,xihe
liaoning,fuxin,fuxinmenggu
liaoning,fuxin,zhangwu
liaoning,liaoyang,baita
liaoning,liaoyang,wensheng
liaoning,liaoyang,hongwei
liaoning,liaoyang,gongchangling
liaoning,liaoyang,taizihe
liaoning,liaoyang,liaoyang
liaoning,liaoyang,dengta
liaoning,panjin,shuangtaizi
liaoning,panjin,xinglongtai
liaoning,panjin,dawa
liaoning,panjin,panshan
liaoning,tieling,yinzhou
liaoning,tieling,qinghe
liaoning,tieling,tieling
liaoning,tieling,xifeng
liaoning,tieling,changtu
liaoning,tieling,diaobingshan
liaoning,tieling,kaiyuan
liaoning,zhaoyang,shuangta
liaoning,zhaoyang,longcheng
liaoning,zhaoyang,zhaoyang
liaoning,zhaoyang,jianping
liaoning,zhaoyang,kalaqinzuoyimenggu
liaoning,zhaoyang,beipiao
liaoning,zhaoyang,lingyuan
liaoning,huludao,lianshan
liaoning,huludao,longgang
liaoning,huludao,nanpiao
liaoning,huludao,suizhong
liaoning,huludao,jianchang
liaoning,huludao,xingcheng
jilin,changchun,nanguan
jilin,changchun,kuancheng
jilin,changchun,zhaoyang
