s_fcode,audityr,ftyname1,ftyname2,ftylocalname,ftyaddr,products,employees,ordersince,ftyaddrlow,ftynamelow1,ftynamelow2,province,prefecture,county,streetnumbers,temp2_streetname,indzone,township,basiclvl,streetnames,name1,name2,,,,,
AAOPLA,2009,"ZHONG SHAN SHUN FUNG ARTS & CRAFTS CO., LTD.","ZHONG SHAN SHUN FUNG ARTS & CRAFTS CO., LTD.",-,"No. 1, Bihua Road, Bai Shi Industrial Zone, Sanxiang Town, ,",NA,NA,2003-02-05,"no. 1, bihua road, bai shi industrial zone, sanxiang town, ,","zhong shan shun fung arts & crafts co., ltd.","zhong shan shun fung arts & crafts co., ltd.",NA,zhong shan,NA,1,bihua ,bai shi ,sanxiang ,NA,bihua ,zhong shan shun fung arts  crafts  , shun fung     ,,,,,
ABCWIG,2009,A.B.C. WIG FACTORY,A.B.C. WIG FACTORY,-,"MIAO PU INDUSTRY ZONE, NAN LING VILLAGE WU SHE, LONG GUI TOWN, BAI YUN DISTRICT, ,",NA,NA,7/26/01,"miao pu industry zone, nan ling village wu she, long gui town, bai yun district, ,",a.b.c. wig factory,a.b.c. wig factory,NA,NA,NA,NA,NA,NA,long gui ,nan ling ,NA,abc wig ,abc  ,,,,,
ABLACC,2009,"ABLE ACCESSORIES CO.,LTD",NA,NA,NA,"Woven clothes, handbages, leathers.",178,NA,NA,"able accessories co.,ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,able  ,able  ,,,,,
ABUFOO,2009,ABUNDANCE FOOTWEARS LTD.,ABUNDANCE FOOTWEARS LTD.,-,"SANTUN INDUSTRIAL ESTATE, HOUJIE, , ,",NA,NA,2007-01-09,"santun industrial estate, houjie, , ,",abundance footwears ltd.,abundance footwears ltd.,NA,NA,NA,NA,NA,santun ,NA,NA,NA,abundance footwears ,abundance footwears ,,,Missed,%,improved %
ACCLEA,2009,ACCESS LEATHER PRODUSTS (CHINA - H1),ACCESS LEATHER PRODUCTS (SHENZHEN) LTD,-,"Sanlian Industrial Zone, Longhua Town, baoan District, ,",NA,NA,2/25/02,"sanlian industrial zone, longhua town, baoan district, ,",access leather produsts (china - h1),access leather products (shenzhen) ltd,NA,shenzhen,longhua,NA,NA,sanlian ,longhua ,NA,NA,access leather produsts ,access  produsts ,,Province,1919,66.06%,0.03%
ACCLEA,2009,ACCESS LEATHER PRODUCTS (SHENZHEN) LTD,ACCESS LEATHER PRODUCTS (SHENZHEN) LTD,-,"Sanlian Industrial Zone, Longhua Town, baoan District, ,",NA,NA,2/25/02,"sanlian industrial zone, longhua town, baoan district, ,",access leather products (shenzhen) ltd,access leather products (shenzhen) ltd,NA,shenzhen,longhua,NA,NA,sanlian ,longhua ,NA,NA,access leather   ,access    ,,Prefecture,1191,41.00%,2.24%
ACTART,2009,"ACTIVE ART CLOTHING (SHENZHEN) CO., LTD.","ACTIVE ART CLOTHING (SHENZHEN) CO., LTD.",NA,"NO 244 SILIAN ROAD, HENGGANG STEET,LONGGANG, SHENZHE,GUANGDONG,CHINA, ,",NA,NA,2002-09-09,"no 244 silian road, henggang steet,longgang, shenzhe,guangdong,china, ,","active art clothing (shenzhen) co., ltd.","active art clothing (shenzhen) co., ltd.",guangdong,shenzhen,longgang,244,silian ,NA,NA,NA,silian ,active art clothing   ,active     ,,County,1536,52.87%,12.19%
ADJISH,2009,SHANDONG JINSHUN ARTS AND CRAFTS CO LTD,SHANDONG JINSHUN ARTS AND CRAFTS CO LTD,NA,"SOUTH AREA OF DAXIHUAN ROAD, JUNAN COUNTY, SHANDONG,",NA,NA,2008-04-09,"south area of daxihuan road, junan county, shandong,",shandong jinshun arts and crafts co ltd,shandong jinshun arts and crafts co ltd,shandong,NA,junan,NA,south area of daxihuan ,NA,NA,NA,daxihuan ,shandong jinshun arts and crafts  , jinshun     ,,,,,
ADRTEX,2009,ADR TEXTILE (SU ZHOU) CO. LTD CHINA,ADR TEXTILE (SU ZHOU) CO. LTD CHINA,NA,"NO.35, SOUTH DONGCANG ROAD, TAICANG ECONOMIC DEVELOPMENT ZONE, ,",NA,NA,2006-10-07,"no.35, south dongcang road, taicang economic development zone, ,",adr textile (su zhou) co. ltd china,adr textile (su zhou) co. ltd china,NA,su zhou,NA,35,south dongcang ,NA,NA,NA,south dongcang ,adr textile    ,adr     ,,,,,
ADVCON,2009,ADVANCE CONCEPT HUI MIN GIFTS CO. LTD.,ADVANCE CONCEPT HUI MIN GIFTS CO. LTD.,NA,"MADA HIGHWAY,THE WEST OF PIAOZHUANG VILLAGE, DAGEZHUANG VILLAGE, MAJUQIAO TOWN, TONGZHOU DISTRICT,",NA,NA,2004-04-06,"mada highway,the west of piaozhuang village, dagezhuang village, majuqiao town, tongzhou district,",advance concept hui min gifts co. ltd.,advance concept hui min gifts co. ltd.,NA,NA,NA,NA,NA,NA,majuqiao ,"c(""the west of piaozhuang "", ""dagezhuang "")",NA,advance concept hui min gifts  ,advance concept hui min   ,,,,,
